date,close
2-Nov-15,11
3-Nov-15,4
4-Nov-15,4
5-Nov-15,7
6-Nov-15,6
7-Nov-15,11
8-Nov-15,11
9-Nov-15,10
10-Nov-15,6
11-Nov-15,5
12-Nov-15,4
13-Nov-15,6
14-Nov-15,5
15-Nov-15,14
16-Nov-15,5
17-Nov-15,6
18-Nov-15,6
19-Nov-15,6
20-Nov-15,3
21-Nov-15,6
22-Nov-15,13
23-Nov-15,10
24-Nov-15,7
25-Nov-15,4
26-Nov-15,17
27-Nov-15,11
28-Nov-15,12
29-Nov-15,10
30-Nov-15,7
1-Dec-15,5
2-Dec-15,2
3-Dec-15,5
4-Dec-15,4
5-Dec-15,7
6-Dec-15,7
7-Dec-15,5
8-Dec-15,5
9-Dec-15,4
10-Dec-15,3
11-Dec-15,10
12-Dec-15,20
13-Dec-15,10
14-Dec-15,11
15-Dec-15,4
16-Dec-15,14
17-Dec-15,5
18-Dec-15,4
19-Dec-15,5
20-Dec-15,11
21-Dec-15,7
22-Dec-15,5
23-Dec-15,7
24-Dec-15,11
25-Dec-15,4
26-Dec-15,6
27-Dec-15,11
28-Dec-15,7
29-Dec-15,10
30-Dec-15,4
31-Dec-15,8
1-Jan-16,5
2-Jan-16,9
3-Jan-16,6
4-Jan-16,11
5-Jan-16,6
6-Jan-16,5
7-Jan-16,4
8-Jan-16,8
9-Jan-16,14
10-Jan-16,9
11-Jan-16,6
12-Jan-16,5
13-Jan-16,4
14-Jan-16,6
15-Jan-16,9
16-Jan-16,14
17-Jan-16,12
18-Jan-16,6
19-Jan-16,7
20-Jan-16,5
21-Jan-16,5
22-Jan-16,5
23-Jan-16,10
24-Jan-16,8
25-Jan-16,11
26-Jan-16,6
27-Jan-16,5
28-Jan-16,6
29-Jan-16,5
30-Jan-16,2
31-Jan-16,15
1-Feb-16,10
2-Feb-16,5
3-Feb-16,7
4-Feb-16,5
5-Feb-16,4
6-Feb-16,6
7-Feb-16,10
8-Feb-16,7
9-Feb-16,5
10-Feb-16,4
11-Feb-16,2
12-Feb-16,5
13-Feb-16,11
14-Feb-16,21
15-Feb-16,11
16-Feb-16,9
17-Feb-16,6
18-Feb-16,8
19-Feb-16,5
20-Feb-16,9
21-Feb-16,9
22-Feb-16,11
23-Feb-16,4
24-Feb-16,3
25-Feb-16,9
26-Feb-16,5
27-Feb-16,4
28-Feb-16,2
29-Feb-16,2
1-Mar-16,6
2-Mar-16,8
3-Mar-16,7
4-Mar-16,8
5-Mar-16,9
6-Mar-16,8
7-Mar-16,10
8-Mar-16,4
9-Mar-16,4
10-Mar-16,5
11-Mar-16,4
12-Mar-16,4
13-Mar-16,9
14-Mar-16,4
15-Mar-16,6
16-Mar-16,5
17-Mar-16,12
18-Mar-16,6
19-Mar-16,6
20-Mar-16,5
21-Mar-16,11
22-Mar-16,6
23-Mar-16,4
24-Mar-16,4
25-Mar-16,6
26-Mar-16,5
27-Mar-16,11
28-Mar-16,7
29-Mar-16,6
30-Mar-16,7
